Date,IVV_Close,IVV_momentum_rsi,IVV_trend_macd_diff,IVV_volatility_atr,IVV_trend_cci,BND_Close,BND_momentum_rsi,BND_trend_macd_diff,BND_volatility_atr,BND_trend_cci,IBIT_Close,IBIT_momentum_rsi,IBIT_trend_macd_diff,IBIT_volatility_atr,IBIT_trend_cci,MO_Close,MO_momentum_rsi,MO_trend_macd_diff,MO_volatility_atr,MO_trend_cci,JNJ_Close,JNJ_momentum_rsi,JNJ_trend_macd_diff,JNJ_volatility_atr,JNJ_trend_cci,AWK_Close,AWK_momentum_rsi,AWK_trend_macd_diff,AWK_volatility_atr,AWK_trend_cci,CB_Close,CB_momentum_rsi,CB_trend_macd_diff,CB_volatility_atr,CB_trend_cci
2024-02-01,-1.7535505408743917,3.6275148030296456,-0.01638207546169381,-2.1847337864009626,-0.4819994405975552,-0.8366941093802494,3.8553347057555243,-0.0052600705854451615,-3.875109334759539,-0.3049251585732548,-2.0182358772673346,3.6160316516027686,0.029047911902563225,-3.6949148891295933,-0.12404542196275352,-1.6777627046180748,3.0970426473313735,0.007063941999603232,-2.998644179806541,-0.3141468081287006,-0.52487679987411,3.2753438306287497,-0.0412135855250243,-3.719339549110256,-0.17968074346542473,-1.3083578120940427,4.245124046678784,0.001153183680464802,-4.026594427995411,-0.03390366940367517,-2.042052129673116,4.266964733474079,-0.05172718392786622,-3.562048625782498,-0.17646522653665167
2024-02-02,-1.6680387651520607,3.6275148030296456,0.17946864908862104,-2.1847337864009626,0.16397088504889687,-1.113184638062277,-4.38663446249099,-0.5772860581814361,-3.875109334759539,-0.9346558710796111,-2.021586218824428,-4.1710176221977795,0.02306878877761739,-3.6949148891295933,0.5056021971325251,-1.7136428955080159,-3.899431337053632,-0.08369557115422789,-2.998644179806541,0.3024876992699535,-0.6159345757318594,-3.8411280371727785,-0.22633742210670302,-3.719339549110256,-0.769782194993265,-1.4975193179467832,-4.298618465161495,-0.21021398306385103,-4.026594427995411,-0.6767805215589539,-1.939576271855727,4.266964733474079,0.07140780847439408,-3.562048625782498,0.43251028231037525
2024-02-05,-1.6960359093196642,1.3576922133364298,0.22738801119212954,-2.1847337864009626,-0.1156549017505105,-1.3561493244916456,-4.38663446249099,-1.4071955660220063,-3.875109334759539,-1.2056941521959286,-2.047550726879589,-4.1710176221977795,-0.026688810434177288,-3.6949148891295933,-1.0685168506057268,-1.7973645207894968,-3.899431337053632,-0.34739243461636243,-2.998644179806541,-1.2390985692266816,-0.6580824039845367,-3.8411280371727785,-0.4179311228759644,-3.719339549110256,-1.0439778080976034,-1.6826548185178682,-4.298618465161495,-0.5380014125189257,-4.026594427995411,-0.9982189476366027,-1.788809264728593,4.266964733474079,0.32301248505279223,-3.562048625782498,0.5675489129911726
2024-02-06,-1.6734357986247623,1.7770368548311644,0.2954039775482343,-2.1847337864009626,0.08500535619940862,-1.2137172193784374,-2.450891627949055,-1.5547008658354255,-3.875109334759539,-0.7327991580550081,-2.013210524684773,0.1885123091822398,0.0064711508551867376,-3.6949148891295933,0.6556758170058565,-1.7893910958748591,-3.4212085301766035,-0.47290768887778295,-2.998644179806541,-1.1553064478060713,-0.5404861951111327,-0.2837264689649053,-0.27791218130316203,-3.719339549110256,0.16960335316495315,-1.5820387022121187,-2.3253020488372624,-0.6010508194529818,-4.026594427995411,-0.5968620693232776,-1.8818614951340877,1.6059759918264933,0.3481226306482029,-3.562048625782498,0.41091853335938805
2024-02-07,-1.6054658349191093,2.4697871762956134,0.47565219484447163,-2.1847337864009626,0.808772257909686,-1.272367563605941,-2.633484224835321,-1.6792401166587803,-3.875109334759539,-0.6816166289876886,-1.9612815085744504,1.8231279190680594,0.12130493083193028,-3.6949148891295933,1.4450180550255973,-1.823278041149105,-3.5351656611544247,-0.6100261897897267,-2.998644179806541,-1.1501578609154803,-0.5446497188991408,-0.3502620185773351,-0.18438745403606094,-3.719339549110256,0.6706098530906964,-1.568072813039545,-2.106028206714747,-0.5903119573697043,-4.026594427995411,-0.10967513709386342,-1.9277974270573077,0.7349400654856908,0.28565768323267343,-3.562048625782498,-0.12110333132435086
2024-02-08,-1.5998996982728775,2.5067882224631814,0.5727493069386208,-2.1847337864009626,0.5792475418660707,-1.3519693984028074,-2.845905902374698,-1.8223869401550448,-3.875109334759539,-1.0043426733557648,-1.8934385298210121,2.5430718513132238,0.3095007789123377,-3.6949148891295933,1.5044999720027679,-1.8402221774640133,-3.576591392586635,-0.7029658247195858,-2.998644179806541,-1.3123024134999337,-0.6268627648509341,-1.3435976423189129,-0.28325837230418766,-3.719339549110256,-0.839417974529952,-1.5802156207619062,-2.172467143313699,-0.5617125136611557,-4.026594427995411,-0.5226173341087049,-2.077977928059304,-1.0734906524425059,0.04554763565073072,-3.562048625782498,-1.0606128860793764
2024-02-09,-1.5509881906715017,2.7670372065227777,0.7105716533530901,-2.1847337864009626,0.61744468648774,-1.3770939003776523,-2.906850751833793,-1.8528439209124443,-3.875109334759539,-1.1002507184160593,-1.799631202765491,2.9445676328247288,0.5795105825886666,-3.6949148891295933,1.4730748833160232,-1.8382280469446042,-3.4817674276728225,-0.7138200046659463,-2.998644179806541,-1.1869155264251274,-0.6081294537835694,-1.0421232982280701,-0.2917568189777393,-3.719339549110256,-0.6307415337980825,-1.5427723948151173,-1.5857390774266615,-0.4667278127332433,-4.026594427995411,-0.13273296191100578,-1.9089520108107148,0.4174857446813285,0.09001677461489539,-3.562048625782498,-0.4204107385904331
2024-02-12,-1.555541293618804,2.588522855686611,0.7425860992851955,-2.1847337864009626,0.5318172369026131,-1.3687202188332634,-2.8121880181221974,-1.737557715087696,-3.875109334759539,-0.9620064468664711,-1.6731586845406219,3.1809490529408913,0.9436861228475345,-3.6949148891295933,1.354526632826139,-1.7943748735918825,-1.8253662262216703,-0.5651294631299502,-2.998644179806541,-0.5930019869078867,-0.5514135355706501,-0.2845566263667136,-0.16537496044549316,-3.719339549110256,0.15808741632823425,-1.3970400744820313,0.029653756275542897,-0.21304583178437805,-4.026594427995411,0.6617835713594542,-1.8618366316170372,0.7151564304425019,0.1637127211031098,-3.562048625782498,0.43729357505052435
2024-02-13,-1.669556994581912,-0.32722843884239755,0.4541679484698038,-2.1847337864009626,-0.519004062084967,-1.632636395831995,-3.3193181109431085,-2.096353041268415,-3.875109334759539,-1.7157965248676648,-1.7100116429032586,2.449561680488066,1.0542318983810828,-3.6949148891295933,0.8964226898908901,-1.8262685732504331,-2.1670012999071306,-0.5145327596781528,-2.998644179806541,-0.8985261845670894,-0.6232194693715377,-0.9711638242751955,-0.22208458997972086,-3.719339549110256,-0.3924907649842768,-1.787682451775776,-1.8936868350944618,-0.4720453958438575,-4.026594427995411,-1.2657209551083415,-1.9319204364166234,0.09358151365207439,0.11054662854371648,-3.562048625782498,0.1601538993178813
2024-02-14,-1.5948392858049845,0.509477255838984,0.41121871172452523,-0.7115231379241252,-0.14536702616164138,-1.5195329201742167,-2.3907868230920855,-1.9487100423911135,1.4132450546575772,-1.2957960207705894,-1.5986153421791534,2.734903834800848,1.2622460682827228,-1.70093387886554,1.145814313367517,-1.8093253218392387,-1.7136601609965312,-0.4033490679849336,-0.9597999933387854,-0.7374887787582365,-0.6612029251766496,-1.2555174441754537,-0.32140501048194553,-0.7254528457276209,-1.2968994261834563,-1.7168390130316697,-1.4034713138805388,-0.5220685038359458,-0.6233600123220064,-1.1273454348929308,-1.8553584048711962,0.5726242286892601,0.15649270652865438,-0.9186632661178945,0.3507985067576892
