Date,IVV_Close,BND_Close,IBIT_Close,MO_Close,JNJ_Close,AWK_Close,CB_Close
2024-02-01,478.863525390625,68.09425354003906,24.540000915527344,35.85044479370117,148.15353393554688,118.70706176757812,239.45050048828125
2024-02-02,483.8017883300781,67.48411560058594,24.5,35.54109573364258,146.51632690429688,116.92512512207031,241.1514434814453
2024-02-05,482.1849670410156,66.94795989990234,24.190000534057617,34.819271087646484,145.75851440429688,115.18111419677734,243.65394592285156
2024-02-06,483.4901123046875,67.26226806640625,24.600000381469727,34.88801574707031,147.8728790283203,116.12893676757812,242.1094207763672
2024-02-07,487.41534423828125,67.13284301757812,25.219999313354492,34.59585189819336,147.7980194091797,116.260498046875,241.34695434570312
2024-02-08,487.7367858886719,66.95718383789062,26.030000686645508,34.449764251708984,146.31983947753906,116.14611053466797,238.85418701171875
2024-02-09,490.5614013671875,66.90174102783203,27.149999618530273,34.466957092285156,146.6566619873047,116.49883270263672,241.65975952148438
2024-02-12,490.2984619140625,66.92021942138672,28.65999984741211,34.84504699707031,147.67640686035156,117.87165832519531,242.44180297851562
2024-02-13,483.714111328125,66.33782958984375,28.219999313354492,34.570068359375,146.38534545898438,114.19173431396484,241.2785186767578
2024-02-14,488.0290222167969,66.58741760253906,29.549999237060547,34.716148376464844,145.70240783691406,114.85909271240234,242.54933166503906
2024-02-15,491.24322509765625,66.77230834960938,29.520000457763672,34.51850891113281,147.74188232421875,118.4627456665039,245.42330932617188
2024-02-16,488.9056091308594,66.5596694946289,29.6200008392334,34.52710723876953,147.5722198486328,117.08991241455078,245.26690673828125
2024-02-20,486.1881103515625,66.64286041259766,29.670000076293945,34.58725357055664,148.80709838867188,115.50736236572266,244.88565063476562
2024-02-21,486.62640380859375,66.45799255371094,29.079999923706055,34.776309967041016,149.58006286621094,116.05077362060547,246.30311584472656
2024-02-22,496.79510498046875,66.4857177734375,29.719999313354492,35.14581298828125,151.24856567382812,114.0964126586914,249.7050018310547
2024-02-23,497.07757568359375,66.72608184814453,29.15999984741211,35.343448638916016,152.558837890625,113.41000366210938,250.26220703125
2024-02-26,495.20745849609375,66.60591888427734,31.1200008392334,34.982540130615234,151.5690460205078,111.95138549804688,249.11846923828125
2024-02-27,496.0841064453125,66.50421142578125,32.59000015258789,35.14581298828125,151.7481689453125,112.52339172363281,249.1477813720703
2024-02-28,495.460693359375,66.6521224975586,34.45000076293945,35.223148345947266,152.28549194335938,112.40899658203125,247.88674926757812
2024-02-29,497.1846923828125,66.76305389404297,35.41999816894531,35.15439987182617,152.12522888183594,113.00960540771484,246.01963806152344
2024-03-01,501.9963684082031,67.04302978515625,35.9900016784668,35.1114387512207,152.82278442382812,114.0964126586914,244.99317932128906
2024-03-04,501.4022521972656,66.88541412353516,38.650001525878906,34.140411376953125,150.6735382080078,116.02217864990234,242.68618774414062
2024-03-05,496.33734130859375,67.24698638916016,35.31999969482422,34.320865631103516,150.79608154296875,113.69600677490234,243.761474609375
2024-03-06,499.025634765625,67.36746978759766,38.290000915527344,35.618431091308594,150.2021942138672,114.69700622558594,244.92477416992188
2024-03-07,503.9832763671875,67.4787368774414,38.630001068115234,35.70436096191406,149.7591552734375,113.07633209228516,243.23361206054688
2024-03-08,500.9248962402344,67.54363250732422,39.54999923706055,35.979339599609375,150.37191772460938,112.91426086425781,243.22384643554688
2024-03-11,500.6813659667969,67.51583099365234,41.119998931884766,36.675384521484375,151.9838409423828,114.7160873413086,249.27488708496094
2024-03-12,505.90216064453125,67.31185913085938,40.72999954223633,36.99332046508789,153.4072265625,113.61974334716797,251.96311950683594
2024-03-13,505.0937194824219,67.20062255859375,41.95000076293945,37.2511100769043,151.8612823486328,114.91629791259766,254.36785888671875
2024-03-14,503.99310302734375,66.80198669433594,39.5099983215332,38.05027389526367,150.07968139648438,112.95240020751953,252.6809539794922
2024-03-15,499.8924865722656,66.76490020751953,39.38999938964844,37.697959899902344,149.1087188720703,111.6749038696289,251.36666870117188
2024-03-18,503.4183044433594,66.68147277832031,38.13999938964844,38.24791717529297,147.77017211914062,111.7607192993164,252.69078063964844
2024-03-19,506.3307189941406,66.85762023925781,36.70000076293945,38.35103988647461,147.25172424316406,112.49478149414062,253.51461791992188
2024-03-20,511.0351867675781,66.9781265258789,37.54999923706055,38.488525390625,146.8275146484375,112.58058166503906,253.54405212402344
2024-03-21,512.6131591796875,67.03373718261719,37.150001525878906,38.626014709472656,146.81808471679688,112.69498443603516,251.38629150390625
2024-03-22,511.9291687011719,67.25626373291016,36.40999984741211,37.75634002685547,146.32789611816406,112.25645446777344,250.60165405273438
2024-03-25,510.3267822265625,67.12645721435547,40.54999923706055,38.00231170654297,146.31849670410156,111.6749038696289,250.69973754882812
2024-03-26,509.2519226074219,67.18209075927734,39.630001068115234,37.87932586669922,146.8369598388672,112.34225463867188,251.1606903076172
2024-03-27,513.6881103515625,67.41384887695312,39.130001068115234,38.353694915771484,148.9013671875,115.83149719238281,253.5342254638672
2024-03-28,513.69775390625,67.33040618896484,40.470001220703125,38.31855392456055,149.11817932128906,116.50836944580078,254.15213012695312
