Date,IVV_div_amount,IVV_div_growth,IVV_div_volatility,IVV_div_kurtosis,IVV_div_skewness,MO_div_amount,MO_div_growth,MO_div_volatility,MO_div_kurtosis,MO_div_skewness,JNJ_div_amount,JNJ_div_growth,JNJ_div_volatility,JNJ_div_kurtosis,JNJ_div_skewness,AWK_div_amount,AWK_div_growth,AWK_div_volatility,AWK_div_kurtosis,AWK_div_skewness,CB_div_amount,CB_div_growth,CB_div_volatility,CB_div_kurtosis,CB_div_skewness
2026-02-24,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-23,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-22,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-21,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-20,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-19,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-18,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-17,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-16,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-15,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-14,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-13,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-12,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-11,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-10,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-09,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-08,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-07,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-06,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-05,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-04,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-03,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-02,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-02-01,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-01-31,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-01-30,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-01-29,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
2026-01-28,2.414,0.21002506265664156,0.15850376336479158,0.44537902575816396,0.8811522807651188,1.06,0.0,0.01960784313725493,0.014918411672975177,1.4424668673420096,1.3,0.0,0.024193548387096753,0.1830916888248339,1.468462775540694,0.828,0.0,0.04117647058823526,0.004786991967442115,1.4409032801194523,0.97,0.06593406593406592,0.03296703296703296,0.14589651563690229,1.4627064133071312
