Date,IVV_Close,IVV_momentum_rsi,IVV_trend_macd_diff,IVV_volatility_atr,IVV_trend_cci,IVV_retornos,IVV_skewness,IVV_kurtosis,IVV_volatilidad,BND_Close,BND_momentum_rsi,BND_trend_macd_diff,BND_volatility_atr,BND_trend_cci,BND_retornos,BND_skewness,BND_kurtosis,BND_volatilidad,IBIT_Close,IBIT_momentum_rsi,IBIT_trend_macd_diff,IBIT_volatility_atr,IBIT_trend_cci,IBIT_retornos,IBIT_skewness,IBIT_kurtosis,IBIT_volatilidad,JNJ_Close,JNJ_momentum_rsi,JNJ_trend_macd_diff,JNJ_volatility_atr,JNJ_trend_cci,JNJ_retornos,JNJ_skewness,JNJ_kurtosis,JNJ_volatilidad,AWK_Close,AWK_momentum_rsi,AWK_trend_macd_diff,AWK_volatility_atr,AWK_trend_cci,AWK_retornos,AWK_skewness,AWK_kurtosis,AWK_volatilidad,CB_Close,CB_momentum_rsi,CB_trend_macd_diff,CB_volatility_atr,CB_trend_cci,CB_retornos,CB_skewness,CB_kurtosis,CB_volatilidad,corr_IBIT_IVV
2026-02-27,2.420656699304091,-0.6544738122242132,0.07340008285031734,1.4767859486646833,-0.7790020558323758,-0.4451094668900215,0.7366482541599463,-0.05876716337499202,-0.14708375604185586,1.7085085952223542,1.762279011448044,0.6120478559331121,-0.5240846860719316,0.8525348823724673,0.5843465453367376,1.4852650847706799,-0.2858479023037099,-0.48882630226501467,0.7240196247563428,-2.8357078826160134,1.6086607509268134,2.180240380866503,-1.542086497736137,0.8772154527796233,0.6450016693179421,4.248900049820168,5.532856598527861,3.7374496505819232,1.5248997440442318,-0.868001916220624,2.4754439574607283,0.7498093766670105,1.7457291604389995,-0.5678250702303463,-0.5088947325886308,-0.1094878368076451,0.9373596941968859,0.8954023355082303,1.642197773078872,1.126449111635285,0.9370559354965582,0.8577216633398033,1.3974063508507113,-0.537372386487897,0.7480092779585402,2.7796272826601283,1.5673135594531313,0.8154568566692407,2.1637280217021364,1.102253171787047,0.577778772571958,1.5700585124846869,1.9590440763157675,0.31120897906513917,3.9770175508480072
2026-02-26,2.440970160605177,-0.4163868746848986,0.19795900569729016,1.4957804177684937,-0.14189274349417064,-0.5494276876138234,0.689184525041126,-0.02852287672435178,-0.15320030884504018,1.6790267549890727,1.5077700613370528,0.5682007365892277,-0.5625240849861657,0.6593711050083783,0.4217131451775566,1.7909299730635875,-0.016060259353799445,-0.49883897514178355,0.8367717870125748,-2.712231045493378,1.5588025336497957,2.261344778829067,-0.9580989125347497,0.9955747071263416,0.8894269699494876,3.4846394940918315,5.806373585829498,3.5915875443989105,1.1080230174748606,-1.1151952589413807,2.1513552066584607,0.46388111776981694,-0.654944309756029,-0.6061351779320684,-0.5157250864902287,-0.23246189178615875,0.8936873325059455,0.6374392488176184,1.5749835116086122,1.1237833560572328,0.7947152252361298,0.01945143196537844,1.3602982644268382,-0.5851156315384682,0.7604277138058446,2.734967118255649,1.3639634933803306,0.6436052133368699,2.224070614535914,0.7859408027622499,0.6758444975986703,1.577169840775626,1.968397340151346,0.310586853919562,3.9097428527116582
2026-02-25,2.4667145218525874,-0.09956339542308307,0.11408457152536372,1.465715133642192,0.29832487007713104,0.7086555845720159,0.5553942285447921,0.04347156790967312,-0.1673290366887519,1.6574094460576905,1.29604917840183,0.6298279018038248,-0.536708270039032,0.619114267492655,-0.11008841735954383,2.0447950758817517,0.15734815114057965,-0.4957757866948541,0.9389865217966153,-2.595344349003622,1.0094087877904439,2.324998821447655,-0.8069216879541499,4.421818350024058,0.6218293147156089,3.5191191149496395,5.803902445742472,3.641580601367069,1.4653961480321682,-0.5489562994215408,2.181936980628821,0.6996902476669639,-0.4389228597267434,-0.8375895081470125,-0.3181669842294407,-0.24170013393702572,0.8911332245827357,0.6221857836754922,1.6399288194667105,1.2506317124339166,0.7689353361054951,0.040489227144525505,1.172305141377513,-0.6570673502600537,0.944515265716694,2.683622319496769,1.1100284267116982,0.6069014333165659,2.3714669697791515,0.5826995385534862,-0.5186837785408325,1.628662715936202,2.0393641194581322,0.3057724582030408,3.9123148399340457
2026-02-24,2.428232552405918,-0.5248189106451987,-0.36640742583263225,1.538248606427596,-0.791153003160498,0.6192087399563116,0.6169421862383402,0.23760346729904483,-0.19664854010408436,1.6613394556755645,1.3841118961006134,0.7958776199936692,-0.4928032458520981,0.7376193585920613,-0.19190417233115156,2.040552521207619,0.12157962054185063,-0.48626447223113134,0.6544715582994419,-3.1191418693880633,-0.23079513208507155,2.1762495512558058,-1.8573066832294507,1.8664771226943797,0.05729216388002688,5.069858983430546,4.898933376646061,3.674223203346664,1.7063692006087272,-0.2179106038550946,2.20546352252364,0.7931153968882629,0.5883697114232728,-1.1026850606052696,-0.07316240923504654,-0.2576726258417906,0.887557707311535,0.6021476508516306,1.6147188738576739,1.3005260976564768,0.882849405888572,0.5788169823883016,1.2039362481653837,-0.6495989812526985,0.9466413352287617,2.7187128139922088,1.4599634474895398,0.8549922798284072,2.4436166345583854,0.5852622098339668,0.6950349891720519,1.6306101973876062,2.0467161486807948,0.30454267208525676,3.7448171083421204
2026-02-23,2.3945775481226925,-0.944845725408583,-0.5899032602660061,1.536087126512332,-0.9817444254904523,-0.972507092266544,0.6440268188294561,0.3434106166796307,-0.2114164233998922,1.6692009789333626,1.5550985384487201,0.9194913528906641,-0.42879751804895355,0.8895869801625931,0.6269491390558195,1.8319936510713657,0.0071716641322854095,-0.4935904523113422,0.6565791241892985,-3.1171858105375247,-0.460659552955015,2.2942678095642153,-1.7761602932987877,0.11149127831629994,0.30416989371087755,5.122628800950416,4.867205144929058,3.6230535857572876,1.5795132657094857,-0.16045640373492925,2.338746006926262,0.6265703074017739,1.1751577190774172,-1.0850194288809791,-0.08007457739636067,-0.258885848401771,0.8579317700917835,0.4395678879904876,1.4612341749353726,1.4109533536404886,0.7244327422036385,1.8730742785975574,1.2148152507016519,-0.640197195855778,0.9444833705649873,2.6661526271688927,1.2100162762136892,0.7150653653180262,2.4631684258058564,0.4889292330138464,0.3422265488996901,1.6642350710467892,2.0994346346862147,0.30069190488749764,3.639378742719876
2026-02-20,2.4415740953880576,-0.37664701096392733,-0.44983479062909953,1.4825156740770695,-0.6212103708593092,0.5907996219224634,0.536248321837306,0.6939878925941908,-0.26609091676985097,1.6377548859021696,1.271494479265883,0.9375855964401418,-0.4566376808591257,0.7396028467962927,-0.06923655853536212,2.0366551989237385,0.30284136228255704,-0.5103006051426855,0.853631912154336,-2.9276072059137173,-0.5463905681498225,2.2526207214698792,-1.3890339594373202,2.211392706073749,-0.2973000520003459,5.802373873844359,4.719419719384179,3.5250589195848785,1.3073384838104811,0.08901476689138897,2.279458547799414,0.5199162260353684,-1.637792372675688,-1.0861556764291165,-0.0048873025400705565,-0.29762577010052116,0.7672663946480058,-0.12171788871642751,1.3127048502834642,1.402036694695947,0.40222333747076094,-1.1078113321973246,1.5910990472626894,-0.24004980209122015,0.8419601312053352,2.6392648397250165,1.074969434942308,0.806412170101848,2.580745364996203,0.3693805725667638,0.4919486895887102,1.7275146789684928,2.1031934190719976,0.30704159862667413,3.5215859595272776
2026-02-19,2.40925948168613,-0.7995783822863478,-0.809926596194568,1.4825577594235966,-1.1107896882659318,-0.26653840211038493,0.560469760654314,0.8027335851010465,-0.2780471417332539,1.6397206427221318,1.3123756992348006,1.0929856009380552,-0.44189474949781604,0.917034446253612,0.09474091511356403,1.980496223839464,0.2915374077674754,-0.5144203814782535,0.8167505140245747,-2.996309069628014,-1.4075284259926613,2.413369338880391,-1.646463138958483,2.384508646487578,-0.11764163655922172,6.031769200067356,4.639457207841015,3.654353598347606,2.3769882428612292,0.9777003968110815,1.9133489261057888,0.7982292514589578,0.6517579822366711,-0.2518284837701902,-1.003819324611758,-0.6711047114780947,0.8180901805835027,0.27590439331069017,1.6371186536216116,1.4408088487593786,0.6864614675035098,0.07429073618470697,1.4434786762857406,-0.24294134290954306,0.7958707534192127,2.601895608847097,0.8819470293357565,1.0170426305896163,2.7212547276262984,0.35639224250193746,-0.06113724911511001,1.7955267571450777,2.163491065515451,0.3058698839040816,3.430010276925102
2026-02-18,2.4204556612309855,-0.6618708722924791,-0.8908934059209721,1.6205254307178738,-0.7991710240039847,0.419523289654342,0.35270433099886694,0.3439054230213106,-0.21486368787496626,1.6338248762842957,1.2603040862530346,1.1996377602360657,-0.41029134675304246,1.1422294854871453,-0.3560948165464157,1.5782593373957337,-0.2648774879752021,-0.4781232497525882,0.7609014248631956,-3.097792893052939,-2.2228961920918127,2.5904226076132675,-1.7560806791627621,1.0897042895079179,-0.07009558510773321,6.213968563914874,4.583150570272815,3.5981896559244557,2.2703394389094838,1.0928463319493658,2.018646672369594,0.7381156434225888,0.5625845902236363,-0.06861907614331435,-1.0977820951703618,-0.6371480549239465,0.812982354439238,0.24453824023765464,1.6569143180743577,1.3261323304388086,0.8333154769722432,-1.2833566625953448,1.5045468197597633,-0.21891336547906484,0.7984502030356262,2.603870730690144,0.8989847525323106,1.503253972355564,2.9964887779227527,0.4747345791422583,-0.5880613145594601,1.8067575190538934,2.1105377084009285,0.3164271039128246,3.586124698290481
2026-02-17,2.3969239496330825,-0.975622329974715,-1.0979894152148546,1.7078615125023409,-1.4199434409920184,0.09802778254028412,-0.07639375884996857,0.17656511002084782,-0.016996302161965883,1.6495479227998922,1.5627149081214131,1.2843480985838784,-0.3523446717833197,1.5379650942015657,-0.06917236219942331,0.6067899274912446,-0.004584338019352158,-0.36247928336082785,0.8504707643080968,-3.021088076966348,-2.803894808567218,2.7015367779540056,-1.8025521756276175,1.3526798314210706,0.33921999355132026,4.843906224487476,4.962809791663555,3.549630728531207,2.1707192786242824,1.3708450168284814,2.1928317816623326,0.7409555256716904,-0.08276485294077573,0.08509454828310752,-1.1701152394325613,-0.5952770207546013,0.8729999936131182,0.7319064419941883,1.6048742458513754,1.27714183962493,1.2371297236450116,-0.027719808242039606,1.5330093441085808,-0.1852020639050844,0.7750789627603758,2.643366658204151,1.2348891440751089,2.0171917447718997,3.1063681529572214,0.5785915418170392,1.4574000467453527,1.8150324247589553,2.3152654776392563,0.2799577841022373,3.8080928131431717
2026-02-13,2.3896832967470254,-1.0735202965884754,-1.0330769540884546,1.6921643300672469,-1.490383512608668,0.011671312689965064,-0.011160097441782625,0.18481464879710097,-0.019411524147562385,1.651512175597804,1.5998924571867523,1.1642524139028978,-0.27273243666853314,1.9795369757426442,0.8740435214829346,0.6564175617493506,-0.18537549149703725,-0.3326850056180449,0.9115889691826629,-2.9687256966446363,-3.724524714227676,2.8584631907687306,-1.8317117085563523,3.682686740198487,0.1252009994003641,4.670210008384741,5.030324334044314,3.5531406664332534,2.2021421777344496,1.8319345534045202,2.3382801208927417,0.8779749753615752,-0.4381252458365297,0.06697144317800999,-1.1888145108313006,-0.5554503747713305,0.8727447387016593,0.7306002354015594,0.9713722390449283,1.3326860613051774,0.8242556353376699,2.7260098775893544,1.5350263912489936,-0.18420895738687434,0.7751051074651468,2.5379426700180865,0.7204638917858952,2.180246497686419,3.0466163856238144,0.49079790867335354,-1.6556075907314145,2.220250099135076,3.225727770214373,0.21473920667842664,3.776205624402756
