,mean,std
IVV_momentum_rsi,53.45265160062037,13.570275864949584
IVV_trend_macd_diff,0.0033420153749984948,0.5458993112726884
IVV_volatility_atr,1.6775614924451767,1.4238225514458305
IVV_trend_cci,24.92644504367556,107.5755721968185
IVV_retornos,0.0002561167154104494,0.012238999778090646
IVV_skewness,-0.10833694535565737,0.6426827155006315
IVV_kurtosis,0.4829120570585705,1.4414520415582441
IVV_volatilidad,0.010046479952002068,0.007092290526276529
BND_momentum_rsi,36.05550659802917,27.777950948299893
BND_trend_macd_diff,5.211497678024022e-05,0.03990038748342538
BND_volatility_atr,0.1285739776992873,0.14949346121047732
BND_trend_cci,21.34028197508578,87.882870408116
BND_retornos,0.00011163135839166849,0.002513752347240459
BND_skewness,-0.07222504015904438,0.5086919960417823
BND_kurtosis,0.1808101620597584,1.257158545728876
BND_volatilidad,0.0016013989622034694,0.00196688073356605
IBIT_momentum_rsi,0.0,1.0
IBIT_trend_macd_diff,0.0,1.0
IBIT_volatility_atr,0.0,1.0
IBIT_trend_cci,0.0,1.0
IBIT_retornos,0.0,1.0
IBIT_skewness,0.0,1.0
IBIT_kurtosis,0.0,1.0
IBIT_volatilidad,0.0,1.0
MO_momentum_rsi,54.4545023220971,12.703131740884933
MO_trend_macd_diff,0.00042782441868052334,0.08235054388099143
MO_volatility_atr,0.25284226638053187,0.24433529856110361
MO_trend_cci,26.943976630774284,111.51588460596093
MO_retornos,0.0006027705149249754,0.01577775228612779
MO_skewness,-0.0745179968882286,0.9313481854907321
MO_kurtosis,1.0224065577571182,2.4581794654393554
MO_volatilidad,0.013552028834492443,0.008076101009403482
JNJ_momentum_rsi,53.35373811205406,11.810492203056796
JNJ_trend_macd_diff,0.0012005418417674531,0.24827074922609496
JNJ_volatility_atr,0.8686325903867098,0.6683671224494041
JNJ_trend_cci,17.572803033706776,109.45969684748664
JNJ_retornos,0.0003284534297815228,0.012419890435339228
JNJ_skewness,0.08331110705854888,0.8099726709633895
JNJ_kurtosis,0.8439426918312052,1.9808441539816055
JNJ_volatilidad,0.010591703259093812,0.006528065731808007
CB_momentum_rsi,52.8070454633434,10.478493389124145
CB_trend_macd_diff,0.002475869699948972,0.36277901690347514
CB_volatility_atr,1.2030147311156558,0.9112173863389105
CB_trend_cci,19.072614251766975,106.88029170757727
CB_retornos,0.0005060048327978064,0.020570864810670886
CB_skewness,0.027346325606470517,0.7154167903883515
CB_kurtosis,0.5661401380852782,1.717312498185597
CB_volatilidad,0.016600766413372253,0.012185243938072146
corr_IBIT_IVV,0.0,1.0
BND_div_growth,0.3915193709395191,0.538618363100433
BND_div_volatility,0.3119163199958696,0.26397290525450423
BND_div_kurtosis,3.714541622686859,2.3578161362970076
BND_div_skewness,1.4121006445864581,1.0894929673340354
JNJ_div_growth,0.02784528992126153,0.05038530309035145
JNJ_div_volatility,0.050472102269483225,0.02075821343789262
JNJ_div_kurtosis,0.5948925966023021,0.6838439657123596
JNJ_div_skewness,1.533188036848518,0.10798080346522962
CB_div_growth,0.027038808587321817,0.06487113169348264
CB_div_volatility,0.05454956877362384,0.041346504768446944
CB_div_kurtosis,1.7743806833135627,2.753383168441557
CB_div_skewness,1.6104905539644159,0.6454817974705647
